1681206161.302146;13421800,1342180,10,ondemand;634.241516828537;4109832374.0;796429541.0
1681206802.1337235;13421800,1342180,10,performance;628.0141475200653;4079028620.0;784457404.0
1681207436.730043;13421800,1342180,10,conservative;629.225343465805;4019736962.0;787735105.0
1681208072.6547267;13421800,1342180,10,schedutil;631.7779026031494;4064766694.0;788177853.0
1681208710.8072894;13421800,1677725,8,ondemand;639.0265066623688;4153310168.0;798793182.0
1681209356.6313353;13421800,1677725,8,performance;636.8159143924713;4142505814.0;795739479.0
1681209999.9184792;13421800,1677725,8,conservative;642.2041981220245;4119201857.0;803812456.0
1681210648.9764943;13421800,1677725,8,schedutil;635.5871427059174;4144526316.0;795142862.0
1681211291.138997;13421800,2684360,5,ondemand;673.4334535598755;4415098072.0;843593116.0
1681211971.0242763;13421800,2684360,5,performance;669.7056140899658;4409142460.0;839488879.0
1681212647.213099;13421800,2684360,5,conservative;670.286146402359;4327972746.0;841932904.0
1681213324.0353198;13421800,2684360,5,schedutil;669.5980768203735;4388606807.0;838937061.0
1681214000.345324;13421800,3355450,4,ondemand;693.5690665245056;4560714643.0;869862214.0
1681214700.6536298;13421800,3355450,4,performance;694.9871549606323;4543508510.0;870480865.0
1681215402.1403377;13421800,3355450,4,conservative;695.1932520866394;4498793659.0;873467734.0
1681216103.892547;13421800,3355450,4,schedutil;692.301189661026;4540060826.0;868281224.0
1681216802.7786922;13421800,6710900,2,ondemand;805.2125380039215;5404318013.0;1015871057.0
1681217614.4499998;13421800,6710900,2,performance;801.2628562450409;5383976390.0;1009627847.0
1681218422.0935948;13421800,6710900,2,conservative;804.7225255966187;5320393240.0;1016047753.0
1681219233.3868794;13421800,6710900,2,schedutil;806.9308421611786;5367302421.0;1016506370.0
1681220047.0280619;13421800,13421800,1,ondemand;522.4556424617767;3527876222.0;661303849.0
1681220576.0799904;13421800,13421800,1,performance;527.7135541439056;3520389731.0;665439581.0
1681221110.1141202;13421800,13421800,1,conservative;522.5598893165588;3473013265.0;662077468.0
1681221639.2993243;13421800,13421800,1,schedutil;523.8892028331757;3506163449.0;661590714.0
